name,type,url,contact,status,audience_size,audience_notes,placement_options,quoted_price,available_dates,fit_score,next_step,follow_up_date,notes
No Laying Up,podcast/newsletter,https://nolayingup.com,,not contacted,,,podcast/newsletter/social,,,,,,large audience; likely expensive; ask for media kit
The Fried Egg,newsletter/podcast,https://thefriedegg.com,,not contacted,,,newsletter/podcast,,,,,,architecture/golf culture audience; may be less fantasy focused
Fantasy Golf Degenerates,podcast,https://fantasygolfdegenerates.com,,not contacted,,,fantasy golf podcast,,,,,,strong audience fit if sponsorship available
RickRunGood,newsletter/site,https://rickrungood.com,,not contacted,,,fantasy golf audience,,,,,,could be expensive but audience is high intent
Pat Mayo Experience,podcast/youtube,https://mayomedia.com,,not contacted,,,fantasy golf podcast/youtube,,,,,,high intent but likely pricier
The First Cut,podcast,https://www.cbssports.com/podcasts/the-first-cut-golf/,,not contacted,,,podcast,,,,,,major media; likely expensive
GolfWRX,forum/site,https://www.golfwrx.com,,not contacted,,,site/forum/newsletter,,,,,,broad golf audience; ask about newsletter or forum sponsor options
MyGolfSpy,site/newsletter,https://mygolfspy.com,,not contacted,,,site/newsletter,,,,,,broad gear audience; maybe costly
The Hackers Paradise,forum/site,https://www.thehackersparadise.com,,not contacted,,,forum/site/newsletter,,,,,,community fit may be decent
Golf Monthly,site,https://www.golfmonthly.com,,not contacted,,,sponsored article/display,,,,,,large media; pricing discovery only
Plugged In Golf,site/newsletter,https://pluggedingolf.com,,not contacted,,,site/newsletter,,,,,,weekend golfer audience
Fore Play,barstool podcast/social,https://www.barstoolsports.com/shows/fore-play,,not contacted,,,podcast/social,,,,,,probably expensive; good culture fit
Random Golf Club,social/community,https://randomgolfclub.com,,not contacted,,,social/newsletter/community,,,,,,community audience; not sure sponsorship fit
The Golfer's Journal,newsletter/community,https://www.golfersjournal.com,,not contacted,,,newsletter/community,,,,,,premium golf audience; less pool focused
Practical Golf,site/newsletter,https://practical-golf.com,,not contacted,,,site/newsletter,,,,,,weekend golfer fit
Breaking Eighty,site/newsletter,https://breakingeighty.com,,not contacted,,,site/newsletter,,,,,,golf lifestyle/reviews
Golf News Net,site,https://thegolfnewsnet.com,,not contacted,,,site/newsletter,,,,,,fantasy/content fit possible
Golf Digest,site/newsletter,https://www.golfdigest.com,,not contacted,,,media package,,,,,,likely expensive; pricing benchmark only
Golf.com,site/newsletter,https://golf.com,,not contacted,,,media package,,,,,,likely expensive; pricing benchmark only
Local golf simulator groups,community,, ,not contacted,,,facebook/email/community post,,,,,,build local list manually
